8.28.16.254 - - [25/Jul/2012:22:00:33 +0000] "GET / HTTP/1.1" 200 8381 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
110.75.172.105 - - [26/Jul/2012:04:03:15 +0000] "GET / HTTP/1.1" 200 2054 "-" "Yahoo! Slurp China"
77.222.128.221 - - [26/Jul/2012:05:36:30 +0000] "GET /robots.txt HTTP/1.1" 404 450 "-" "Mozilla/5.0 (compatible; aiHitBot/1.1; +http://www.aihit.com/)"
77.222.128.221 - - [26/Jul/2012:05:36:31 +0000] "GET / HTTP/1.1" 200 1997 "-" "Mozilla/5.0 (compatible; aiHitBot/1.1; +http://www.aihit.com/)"
176.9.138.23 - - [26/Jul/2012:06:47:24 +0000] "GET / HTTP/1.1" 200 2016 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; MALC)"
66.249.67.236 - - [26/Jul/2012:07:44:35 +0000] "GET /robots.txt HTTP/1.1" 404 505 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.67.236 - - [26/Jul/2012:07:44:35 +0000] "GET / HTTP/1.1" 200 2053 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
64.246.165.10 - - [26/Jul/2012:09:09:43 +0000] "GET /robots.txt HTTP/1.0" 404 495 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en; rv:1.9.0.13) Gecko/2009073022 Firefox/3.5.2 (.NET CLR 3.5.30729) SurveyBot/2.3 (DomainTools)"
64.246.165.10 - - [26/Jul/2012:09:09:44 +0000] "GET / HTTP/1.1" 200 2016 "http://whois.domaintools.com/ashkandari.com" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en; rv:1.9.0.13) Gecko/2009073022 Firefox/3.5.2 (.NET CLR 3.5.30729) SurveyBot/2.3 (DomainTools)"
157.56.94.177 - - [26/Jul/2012:09:27:10 +0000] "GET /robots.txt HTTP/1.1" 404 467 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
157.56.94.177 - - [26/Jul/2012:09:27:11 +0000] "GET / HTTP/1.1" 200 2016 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
207.46.13.15 - - [26/Jul/2012:12:26:20 +0000] "GET /robots.txt HTTP/1.1" 404 529 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.15 - - [26/Jul/2012:12:28:33 +0000] "GET / HTTP/1.1" 200 2054 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.56.94.177 - - [26/Jul/2012:13:33:04 +0000] "GET / HTTP/1.1" 200 2016 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
